lat,lon,satelite,data
 -12.908300, -66.495400,GOES-19,2025-05-31 21:50:00
  -6.270300, -44.222600,GOES-19,2025-05-31 21:50:00
  -6.270500, -44.199600,GOES-19,2025-05-31 21:50:00
  -6.289300, -44.198100,GOES-19,2025-05-31 21:50:00
  -7.221100, -43.138800,GOES-19,2025-05-31 21:50:00
  -7.221400, -43.115300,GOES-19,2025-05-31 21:50:00
 -11.799900, -41.179200,GOES-19,2025-05-31 21:50:00
 -14.680500, -45.119100,GOES-19,2025-05-31 21:50:00
 -14.700100, -45.115500,GOES-19,2025-05-31 21:50:00
 -14.700600, -45.092000,GOES-19,2025-05-31 21:50:00
 -15.060700, -43.865200,GOES-19,2025-05-31 21:50:00
 -23.310700, -47.915500,GOES-19,2025-05-31 21:50:00
  -8.666200, -46.652700,GOES-19,2025-05-31 21:50:00
  -8.666500, -46.630400,GOES-19,2025-05-31 21:50:00
  -8.685100, -46.650800,GOES-19,2025-05-31 21:50:00
  -8.685400, -46.628500,GOES-19,2025-05-31 21:50:00
