lat,lon,satelite,data
  -7.221100, -43.138800,GOES-19,2025-05-31 22:10:00
 -14.680500, -45.119100,GOES-19,2025-05-31 22:10:00
  -6.289300, -44.198100,GOES-19,2025-05-31 22:10:00
  -8.666200, -46.652700,GOES-19,2025-05-31 22:10:00
  -8.666500, -46.630400,GOES-19,2025-05-31 22:10:00
  -8.685100, -46.650800,GOES-19,2025-05-31 22:10:00
 -11.799900, -41.179200,GOES-19,2025-05-31 22:10:00
 -14.681000, -45.095600,GOES-19,2025-05-31 22:10:00
 -14.700100, -45.115500,GOES-19,2025-05-31 22:10:00
 -14.700600, -45.092000,GOES-19,2025-05-31 22:10:00
 -15.060700, -43.865200,GOES-19,2025-05-31 22:10:00
 -15.080300, -43.861200,GOES-19,2025-05-31 22:10:00
  -8.685400, -46.628500,GOES-19,2025-05-31 22:10:00
 -11.071200, -54.786800,GOES-19,2025-05-31 22:10:00
 -11.071400, -54.766400,GOES-19,2025-05-31 22:10:00
 -11.090100, -54.785200,GOES-19,2025-05-31 22:10:00
  -6.270500, -44.199600,GOES-19,2025-05-31 22:10:00
 -11.090300, -54.764800,GOES-19,2025-05-31 22:10:00
 -11.446200, -54.997800,GOES-19,2025-05-31 22:10:00
 -12.132500, -54.607600,GOES-19,2025-05-31 22:10:00
 -12.132800, -54.587100,GOES-19,2025-05-31 22:10:00
