lat,lon,satelite,data
  -6.334800, -43.383200,GOES-19,2025-05-30 11:50:00
  -7.983000, -50.699000,GOES-19,2025-05-30 11:50:00
 -13.106800, -45.276000,GOES-19,2025-05-30 11:50:00
 -13.087400, -45.279100,GOES-19,2025-05-30 11:50:00
  -6.353600, -43.381600,GOES-19,2025-05-30 11:50:00
  -6.980400, -42.785400,GOES-19,2025-05-30 11:50:00
 -13.087000, -45.302300,GOES-19,2025-05-30 11:50:00
  -6.334800, -43.383200,GOES-19,2025-05-30 12:00:00
 -13.106800, -45.276000,GOES-19,2025-05-30 12:00:00
 -13.087400, -45.279100,GOES-19,2025-05-30 12:00:00
  -6.353600, -43.381600,GOES-19,2025-05-30 12:00:00
  -6.980400, -42.785400,GOES-19,2025-05-30 12:00:00
 -13.087000, -45.302300,GOES-19,2025-05-30 12:00:00
