lat,lon,satelite,data
  -7.221100, -43.138800,GOES-19,2025-05-31 22:40:00
  -7.221400, -43.115300,GOES-19,2025-05-31 22:40:00
 -13.106800, -45.276000,GOES-19,2025-05-31 22:40:00
 -14.680500, -45.119100,GOES-19,2025-05-31 22:40:00
 -14.681000, -45.095600,GOES-19,2025-05-31 22:40:00
 -14.700100, -45.115500,GOES-19,2025-05-31 22:40:00
 -14.700600, -45.092000,GOES-19,2025-05-31 22:40:00
  -6.270500, -44.199600,GOES-19,2025-05-31 22:40:00
  -8.666500, -46.630400,GOES-19,2025-05-31 22:40:00
  -8.685100, -46.650800,GOES-19,2025-05-31 22:40:00
  -8.685400, -46.628500,GOES-19,2025-05-31 22:40:00
 -11.071200, -54.786800,GOES-19,2025-05-31 22:40:00
 -11.071400, -54.766400,GOES-19,2025-05-31 22:40:00
 -11.090300, -54.764800,GOES-19,2025-05-31 22:40:00
 -12.132800, -54.587100,GOES-19,2025-05-31 22:40:00
 -14.578400, -58.758500,GOES-19,2025-05-31 22:40:00
 -14.597600, -58.756700,GOES-19,2025-05-31 22:40:00
