lat,lon,satelite,data
  -9.496400, -40.308800,GOES-19,2025-06-02 02:30:00
 -17.284000, -42.647900,GOES-19,2025-06-02 02:30:00
 -17.304100, -42.643000,GOES-19,2025-06-02 02:30:00
 -18.694000, -46.989101,METOP-C,2025-06-02 00:51:00
 -18.684200, -46.991501,METOP-C,2025-06-02 00:51:00
 -18.685900, -46.998901,METOP-C,2025-06-02 00:51:00
 -17.277901, -42.647301,METOP-C,2025-06-02 00:51:00
 -17.281000, -42.659302,METOP-C,2025-06-02 00:51:00
 -17.268200, -42.649899,METOP-C,2025-06-02 00:51:00
 -17.271299, -42.661900,METOP-C,2025-06-02 00:51:00
 -17.258499, -42.652599,METOP-C,2025-06-02 00:51:00
 -17.261600, -42.664600,METOP-C,2025-06-02 00:51:00
 -17.264601, -42.676701,METOP-C,2025-06-02 00:51:00
 -13.091400, -45.259399,METOP-C,2025-06-02 00:51:00
 -13.093800, -45.269100,METOP-C,2025-06-02 00:51:00
 -10.555100, -42.434101,METOP-C,2025-06-02 00:51:00
  -9.494100, -40.322899,METOP-C,2025-06-02 00:51:00
 -13.710500, -52.908298,METOP-C,2025-06-02 00:51:00
 -14.024600, -55.116699,METOP-C,2025-06-02 00:51:00
 -14.027000, -55.128399,METOP-C,2025-06-02 00:51:00
 -14.014800, -55.118698,METOP-C,2025-06-02 00:51:00
 -13.368500, -54.252998,METOP-C,2025-06-02 00:51:00
 -13.370700, -54.263100,METOP-C,2025-06-02 00:51:00
 -10.886600, -48.810902,METOP-C,2025-06-02 00:51:00
 -11.923700, -54.816601,METOP-C,2025-06-02 00:51:00
 -11.925900, -54.827099,METOP-C,2025-06-02 00:51:00
 -11.913900, -54.818699,METOP-C,2025-06-02 00:51:00
 -11.916100, -54.829201,METOP-C,2025-06-02 00:51:00
 -11.918300, -54.839699,METOP-C,2025-06-02 00:51:00
 -11.452400, -55.004002,METOP-C,2025-06-02 00:51:00
  -9.403300, -48.425201,METOP-C,2025-06-02 00:51:00
  -9.072100, -47.152901,METOP-C,2025-06-02 00:51:00
  -9.074100, -47.161400,METOP-C,2025-06-02 00:51:00
 -10.146900, -52.140202,METOP-C,2025-06-02 00:51:00
 -10.825700, -56.941002,METOP-C,2025-06-02 00:51:00
  -7.013300, -44.609699,METOP-C,2025-06-02 00:51:00
  -5.927900, -45.530998,METOP-C,2025-06-02 00:51:00
