lat,lon,satelite,data
  -9.786500, -37.002280,TERRA_M-M,2025-06-02 00:20:00
  -6.733650, -42.912930,TERRA_M-M,2025-06-02 00:20:00
  -6.638020, -43.211070,TERRA_M-M,2025-06-02 00:20:00
  -9.115900, -47.646380,TERRA_M-M,2025-06-02 00:20:00
  -9.075130, -47.155630,TERRA_M-M,2025-06-02 00:20:00
  -8.777550, -47.241780,TERRA_M-M,2025-06-02 00:20:00
  -7.074750, -44.930070,TERRA_M-M,2025-06-02 00:20:00
  -6.636800, -43.202260,TERRA_M-M,2025-06-02 00:20:00
 -18.684640, -46.991260,TERRA_M-M,2025-06-02 00:18:00
 -17.272120, -42.668780,TERRA_M-M,2025-06-02 00:18:00
 -17.270820, -42.658790,TERRA_M-M,2025-06-02 00:18:00
 -17.262950, -42.670180,TERRA_M-M,2025-06-02 00:18:00
 -17.261650, -42.660140,TERRA_M-M,2025-06-02 00:18:00
 -17.253780, -42.671580,TERRA_M-M,2025-06-02 00:18:00
 -17.252470, -42.661460,TERRA_M-M,2025-06-02 00:18:00
 -16.033840, -43.682530,TERRA_M-M,2025-06-02 00:18:00
 -13.103060, -45.266140,TERRA_M-M,2025-06-02 00:18:00
 -13.092930, -45.267490,TERRA_M-M,2025-06-02 00:18:00
 -13.082800, -45.268840,TERRA_M-M,2025-06-02 00:18:00
 -10.548810, -42.442730,TERRA_M-M,2025-06-02 00:20:00
 -10.547580, -42.433830,TERRA_M-M,2025-06-02 00:20:00
  -7.073440, -44.920370,TERRA_M-M,2025-06-02 00:20:00
  -7.012790, -44.607540,TERRA_M-M,2025-06-02 00:20:00
  -7.011530, -44.598160,TERRA_M-M,2025-06-02 00:20:00
  -7.010280, -44.588910,TERRA_M-M,2025-06-02 00:20:00
  -7.003730, -44.608980,TERRA_M-M,2025-06-02 00:20:00
  -5.924760, -45.536350,TERRA_M-M,2025-06-02 00:20:00
  -5.923390, -45.526350,TERRA_M-M,2025-06-02 00:20:00
  -9.496400, -40.308800,GOES-19,2025-06-02 03:00:00
 -17.284000, -42.647900,GOES-19,2025-06-02 03:00:00
 -17.304100, -42.643000,GOES-19,2025-06-02 03:00:00
